"코드
 번호",회사명,주가,시가총액,"총자산
 (억)","매출액
 (억)"
A005930,삼성전자,"2,539,000","3,277,811","2,893,917","2,395,970"
A000660,SK하이닉스,"75,500","549,642","407,227","301,094"
A005380,현대차,"152,500","335,922","1,760,299","963,761"
A005490,POSCO,"395,000","344,388","761,813","606,551"
A035420,NAVER,"927,000","305,564","70,490","46,785"
A051910,LG화학,"435,500","307,430","235,514","247,775"
A028260,삼성물산,"136,500","258,927","451,490","294,576"
A032830,삼성생명,"130,000","260,000","2,797,716","168,336"
A207940,삼성바이오로직스,"418,000","276,570","71,083","4,039"
A015760,한국전력,"36,050","231,428","1,778,913","595,460"
A012330,현대모비스,"246,000","239,466","419,472","351,446"
A105560,KB금융,"67,400","281,807","4,328,020","109,882"
A055550,신한지주,"51,800","245,635","4,288,999","115,590"
A068270,셀트리온,"300,000","375,325","31,416","8,836"
A017670,SK텔레콤,"267,500","215,995","317,872","173,750"
A034730,SK,"324,000","227,967","759,469","909,543"
A096770,SK이노베이션,"198,000","183,082","324,168","437,861"
A090430,아모레퍼시픽,"312,000","182,390","52,023","52,999"
A051900,LG생활건강,"1,174,000","183,358","46,123","62,705"
A066570,LG전자,"103,000","168,557","397,159","613,963"
A251270,넷마블게임즈,"175,500","149,223","52,658","14,808"
A018260,삼성에스디에스,"260,000","201,182","70,965","92,145"
A003550,LG,"94,200","162,549","203,962","122,066"
A033780,KT&G,"109,000","149,649","100,496","47,230"
A010950,S-Oil,"115,500","130,033","143,992","196,341"
A086790,하나금융지주,"51,200","151,554","3,623,738","86,846"
A000270,기아차,"33,500","135,797","545,641","535,357"
A006400,삼성SDI,"207,000","142,343","153,867","63,216"
A000810,삼성화재,"279,500","132,413","730,141","187,872"
A011170,롯데케미칼,"406,500","139,330","178,359","155,109"
A002790,아모레G,"151,000","124,512","42,567","62,513"
A000030,우리은행,"17,000","114,920","3,177,088","84,872"
A034220,LG디스플레이,"32,500","116,290","281,579","277,902"
A010130,고려아연,"523,000","98,690","68,914","64,893"
A035720,카카오,"140,000","95,072","60,267","18,815"
A036570,엔씨소프트,"449,500","98,616","31,488","15,100"
A024110,기업은행,"16,600","92,956","2,732,324","79,297"
A009540,현대중공업,"142,000","80,465","300,664","344,657"
A091990,셀트리온헬스케어,"122,100","171,044","29,201","9,429"
A023530,롯데쇼핑,"239,500","67,352","419,457","286,497"
A030200,KT,"29,950","78,203","279,694","233,018"
A004020,현대제철,"58,900","78,600","326,867","191,660"
A035250,강원랜드,"33,050","70,707","40,457","16,151"
A009150,삼성전기,"104,500","78,055","80,866","64,665"
A021240,코웨이,"96,600","72,274","21,197","24,772"
A267250,현대로보틱스,"467,000","76,059","76,923","3,880"
A088350,한화생명,"7,070","61,405","1,243,634","150,175"
A018880,한온시스템,"13,500","72,063","39,733","56,629"
A161390,한국타이어,"55,100","68,255","101,558","67,412"
A006800,미래에셋대우,"11,050","73,628","814,776","13,276"
A139480,이마트,"294,500","82,094","155,573","156,501"
A078930,GS,"68,700","63,833","198,191","157,372"
A008930,한미사이언스,"108,000","68,579","9,530","6,544"
A032640,LG유플러스,"15,000","65,492","117,754","120,734"
A086280,현대글로비스,"135,500","50,813","84,063","163,118"
A047810,한국항공우주,"55,400","54,001","36,613","24,416"
A001040,CJ,"190,000","55,436","215,734","262,003"
A128940,한미약품,"595,000","67,745","15,595","8,560"
A005830,DB손해보험,"70,700","50,056","478,365","135,902"
A009830,한화케미칼,"35,700","58,837","138,171","93,072"
A097950,CJ제일제당,"366,500","48,293","144,219","159,267"
A004800,효성,"130,500","45,828","145,504","122,904"
A042660,대우조선해양,"21,650","23,091","129,522","112,940"
A010140,삼성중공업,"9,480","36,972","135,896","79,012"
A000720,현대건설,"40,800","45,433","168,246","168,447"
A029780,삼성카드,"39,850","46,170","235,884","33,446"
A009240,한샘,"171,000","40,243","10,240","21,301"
A011070,LG이노텍,"127,000","30,057","51,282","76,414"
